,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2002-09-12,16.829999923706055,17.1299991607666,16.610000610351562,16.75,16.75,7065100,AMZN,16.09433,16.75,0.0,0.0
2002-09-13,16.690000534057617,16.989999771118164,16.5,16.610000610351562,16.610000610351562,3654900,AMZN,16.71456,16.549999237060547,0.0,-0.10455894470214844
2002-09-24,15.869999885559082,16.3700008392334,15.600000381469727,15.930000305175781,15.930000305175781,7072900,AMZN,17.535517,18.940000534057617,1.6055164337158203,0.0
2002-10-02,16.809999465942383,17.639999389648438,16.700000762939453,17.010000228881836,17.010000228881836,8223600,AMZN,18.005148,19.75,0.995147705078125,0.0
2002-10-11,18.18000030517578,18.739999771118164,18.100000381469727,18.459999084472656,18.459999084472656,9628500,AMZN,19.545856,19.799999237060547,1.0858573913574219,0.0
2002-10-21,18.889999389648438,19.530000686645508,18.719999313354492,19.260000228881836,19.260000228881836,6757700,AMZN,19.92346,19.0,0.0,-0.6634597778320312
2002-10-22,19.010000228881836,19.90999984741211,18.899999618530273,19.3799991607666,19.3799991607666,8645700,AMZN,20.367842,19.81999969482422,0.9878425598144531,0.0
2002-10-23,19.520000457763672,19.81999969482422,19.3700008392334,19.75,19.75,6648100,AMZN,20.918898,20.40999984741211,1.1688976287841797,0.0
2002-10-25,18.84000015258789,19.360000610351562,18.479999542236328,19.299999237060547,19.299999237060547,15900000,AMZN,18.089363,22.209999084472656,-1.2106361389160156,0.0
2002-10-28,19.280000686645508,19.729999542236328,18.399999618530273,18.59000015258789,18.59000015258789,8799800,AMZN,18.931625,22.420000076293945,0.3416252136230469,0.0
2002-10-29,18.510000228881836,18.920000076293945,18.06999969482422,18.56999969482422,18.56999969482422,7242000,AMZN,20.261848,21.290000915527344,1.6918487548828125,0.0
2002-11-20,21.350000381469727,23.0,21.219999313354492,22.899999618530273,22.899999618530273,13294400,AMZN,20.044577,22.299999237060547,0.0,2.8554229736328125
2002-12-18,22.25,22.260000228881836,21.979999542236328,22.100000381469727,22.100000381469727,3992800,AMZN,25.672821,21.31999969482422,0.0,-3.5728206634521484
2002-12-24,22.18000030517578,22.280000686645508,21.8799991607666,21.8799991607666,21.8799991607666,2348600,AMZN,25.365784,21.799999237060547,0.0,-3.4857845306396484
2003-01-03,19.59000015258789,20.530000686645508,19.40999984741211,20.520000457763672,20.520000457763672,8757000,AMZN,19.794243,21.780000686645508,-0.7257575988769531,0.0
2003-01-07,20.829999923706055,21.75,20.600000381469727,21.549999237060547,21.549999237060547,9568200,AMZN,21.682573,22.079999923706055,0.13257408142089844,0.0
2003-01-08,21.440000534057617,21.600000381469727,20.81999969482422,21.020000457763672,21.020000457763672,6981500,AMZN,20.721773,21.81999969482422,-0.29822731018066406,0.0
2003-01-10,20.959999084472656,21.65999984741211,20.809999465942383,21.31999969482422,21.31999969482422,7579300,AMZN,21.658613,22.15999984741211,0.33861351013183594,0.0
2003-01-23,21.540000915527344,22.040000915527344,21.149999618530273,21.790000915527344,21.790000915527344,10998000,AMZN,23.39763,20.059999465942383,0.0,-1.6076297760009766
2003-02-03,21.940000534057617,22.440000534057617,21.81999969482422,22.15999984741211,22.15999984741211,5195500,AMZN,24.286499,21.8799991607666,0.0,-2.1264991760253906
2003-02-21,21.350000381469727,21.829999923706055,21.040000915527344,21.780000686645508,21.780000686645508,7207800,AMZN,22.739555,24.709999084472656,0.9595546722412109,0.0
2003-03-07,22.31999969482422,23.040000915527344,22.260000228881836,22.969999313354492,22.969999313354492,5848400,AMZN,24.627096,27.18000030517578,1.6570968627929688,0.0
2003-03-11,22.75,22.920000076293945,22.510000228881836,22.780000686645508,22.780000686645508,4034100,AMZN,24.81073,25.540000915527344,2.030729293823242,0.0
2003-03-12,22.510000228881836,23.3799991607666,22.489999771118164,23.360000610351562,23.360000610351562,5573100,AMZN,25.097462,26.3799991607666,1.7374610900878906,0.0
2003-03-21,27.709999084472656,27.950000762939453,27.040000915527344,27.93000030517578,27.93000030517578,10657700,AMZN,26.904573,25.75,0.0,1.0254268646240234
2003-03-25,26.25,27.09000015258789,26.209999084472656,26.899999618530273,26.899999618530273,7213200,AMZN,26.17375,25.1299991607666,0.0,0.7262496948242188
2003-04-08,26.790000915527344,26.799999237060547,26.450000762939453,26.520000457763672,26.520000457763672,5403600,AMZN,29.548506,28.690000534057614,3.028505325317383,0.0
2003-04-09,26.350000381469727,26.3700008392334,24.84000015258789,25.059999465942383,25.059999465942383,11958900,AMZN,26.642406,28.65999984741211,1.582406997680664,0.0
